,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430
0,226,269,269,258,258,258,279,269,506,495,495,226,226,236,495,495,495,258,258,96,64,53,43,43,1065,1055,64,64,64,64,269,258,247,64,64,64,64,64,64,64,64,64,258,258,258,495,96,64,64,64,64,183,183,1055,613,1152,1162,861,850,936,915,1087,635,624,1055,204,204,269,290,226,215,1130,559,559,818,269,269,269,269,258,236,269,279,86,279,1098,1098,742,732,258,258,258,258,269,258,258,258,258,129,118,290,602,602,839,839,1259,1238,1227,96,96,96,96,204,183,183,592,1044,807,807,796,753,753,495,495,269,258,269,269,279,290,850,1571,279,279,581,570,570,570,559,559,559,559,549,559,129,86,86,43,258,258,258,258,258,258,1571,1571,290,301,301,301,118,129,602,796,1248,1399,1388,86,64,64,32,96,96,96,96,1065,183,1055,1055,1033,1022,1012,990,947,258,6459,215,215,215,215,441,430,645,635,624,258,258,258,258,258,258,290,301,516,495,484,96,64,64,43,43,441,430,430,441,258,258,258,1571,1571,1571,118,64,64,64,32,53,1227,258,258,258,258,96,96,96,96,258,258,592,592,1399,1388,1022,1012,1001,1195,710,1055,1055,269,21,215,226,226,226,215,1571,1571,258,258,258,269,269,269,462,441,430,495,409,64,64,43,43,64,64,64,64,64,64,64,64,64,64,64,64,129,129,64,64,613,602,64,64,64,64,96,96,64,64,64,64,64,43,32,1033,1022,1001,258,258,258,1313,462,462,452,441,495,484,1108,258,258,258,258,258,258,258,258,269,409,419,409,107,64,64,43,32,43,1022,1001,979,592,592,592,258,258,258,258,409,452,441,409,258,258,258,258,258,258,258,258,506,506,441,398,75,64,43,32,43,1022,1012,979,947,882,258,258,258,258,258,269,1108,1108,21,279,279,527,506,495,495,495,236,484,484,484,484,75,64,64,32,43,258,258,258,258,258,258,258,258,258,258,129,64,64,43,43,861,872,872,559,785,785,785,96,96,96,269,1065,183,462,452,452,462,1012
0,452,441,441,430,409,398,258,258,258,32,21,527,538,538,538,796,699,64,64,43,32,43,258,258,258,118,118,592,581,549,527,527,258,258,258,258,258,1571,1571,204,86,64,64,43,43,1022,1012,258,258,258,258,452,441,538,538,495,1055,183,1055,1044,1033,1022,1001,979,947,882,1055,258,258,258,258,193,204,279,290,290,290,269,269,226,172,258,430,452,452,441,398,398,398,64,129,64,64,64,64,64,64,699,699,64,64,64,64,64,64,43,64,64,64,64,64,64,64,96,96,64,64,64,64,183,312,624,495,1022,258,527,527,419,409,7891,7891,8397,6115,6104,1055,1571,1571,1614,1614,516,495,96,64,64,43,43,409,839,850,850,807,807,527,527,527,527,527,226,269,290,258,258,269,258,247,64,64,43,32,269,1012,1001,107,64,64,43,43,43,516,527,1065,183,183,1055,1044,1033,1162,1152,1130,1098,1065,1044,398,193,462,484,495,753,721,1152,1141,1130,1098,624,624,527,387,387,376,527,527,96,64,53,43,624,624,1065,1130,64,64,785,64,64,64,495,398,64,64,64,43,64,64,64,64,64,64,64,96,64,64,64,64,484,484,495,516,796,1044,172,183,236,226,516,258,7708,290,581,538,516,506,516,527,204,204,204,193,172,527,527,527,441,441,441,64,64,43,32,527,1022,1001,527,979,990,269,861,861,645,635,624,183,183,1044,1044,301,312,226,75,64,64,32,43,226,226,172,75,64,43,32,1259,1248,1238,925,915,915,1948,462,452,441,613,258,258,269,258,21,21,290,301,86,64,64,32,43,527,516,269,161,150,64,64,64,64,64,64,64,64,64,64,64,64,64,64,129,129,129,64,64,64,64,64,64,64,527,193,193,64,64,64,172,172,495,495,699,882,1076,592,581,527,527,527,527,516,516,258,258,258,258,592,796,785,107,64,64,43,32,527,430,441,441,150,118,441,441,613,592,64,64,64,64,64,64,64,64,64,269,96,118,129,129,64,64,64,64,64,645,624,538,527,538,538,441
0,398,387,64,64,64,64,64,64,64,64,64,64,64,64,64,1108,32,21,818,807,1205,925,861,850,807,527,527,516,527,107,107,64,43,43,549,484,452,430,53,53,43,32,129,64,64,64,64,312,64,64,64,64,64,64,64,64,32,64,96,64,64,64,64,64,43,43,1022,527,516,506,506,269,269,269,215,462,570,64,64,43,32,592,247,236,247,269,613,613,613,602,624,527,538,64,64,32,53,64,64,129,75,53,43,32,43,64,64,64,96,86,129,129,807,807,1205,129,75,53,43,32,96,64,64,139,53,53,43,43,506,506,495,64,64,64,64,64,64,64,64,64,64,43,32,43,839,1248,107,64,64,43,32,204,516,527,139,64,64,43,43,441,441,430,430,419,409,398,139,161,64,419,409,53,43,43,118,118,118,64,64,64,495,96,592,559,538,527,355,183,1055,1044,1033,1012,990,947,258,387,409,419,409,258,258,269,258,258,269,516,1044,753,1141,1108,861,850,1195,1195,1571,1571,139,64,53,43,32,43,516,495,710,699,678,667,645,624,602,1571,1841,118,118,710,710,710,258,258,258,258,86,96,96,96,96,269,1065,183,1055,1044,1033,656,645,624,258,258,258,258,269,484,484,473,441,624,613,602,258,258,1205,86,53,64,43,43,301,495,484,129,118,409,398,387,258,258,258,258,258,258,258,1571,1571,1571,258,118,129,322,290,290,624,258,258,64,64,43,96,96,495,484,484,183,1055,1044,1033,1022,1012,8602,8602,258,258,258,258,258,258,258,258,258,258,258,516,527,495,484,441,1571,1571,1571,1571,1571,269,183,64,53,43,43,473,258,258,258,258,172,215,226,570,559,807,75,64,43,32,32,258,258,258,258,193,204,96,96,96,96,1065,183,183,1044,226,226,452,441,419,409,398,376,366,355,355,258,269,258,258,258,258,258,258,269,258,269,1571,1571,1571,1571,258,172,64,64,43,43,64,129,64,64,64,64,64,64,64,64,64,419,64,64,64,64,64,64,64,64,64,247,2056
0,86,53,215,86,75,64,53,43,53,53,53,53,53,75,75,107,107,107,139,139,279,570,850,807,936,936,925,925,215,215,107,236,215,215,107,183,290,247,559,96,75,86,107,107,107,43,43,53,107,107,107,107,107,96,96,96,107,96,473,462,333,333,322,150,150,161,150,150,129,129,139,333,333,613,602,592,581,570,506,506,516,107,495,484,495,247,247,150,161,161,107,53,53,43,43,53,53,43,53,53,53,107,96,96,96,96,96,86,64,53,43,53,53,53,53,53,75,75,506,279,129,139,139,107,107,775,764,968,742,376,376,473,193,193,204,290,290,279,86,86,96,96,107,86,215,215,279,64,53,43,53,53,53,570,1055,1033,139,139,139,139,139,139,118,107,107,107,107,107,107,107,107,118,139,139,139,624,602,592,581,559,559,279,279,279,279,279,279,279,279,559,559,312,322,75,64,53,43,43,53,53,43,43,53,53,53,139,139,139,226,215,86,64,53,43,43,53,53,53,53,53,279,279,279,139,139,139,269,538,527,775,764,742,462,462,215,215,204,215,452,452,549,430,409,409,409,398,183,183,96,96,53,53,43,53,53,979,968,968,958,139,139,139,139,139,452,118,107,107,107,107,107,107,107,107,118,129,139,139,258,258,516,506,495,473,452,430,409,398,387,183,247,172,172,559,570,150,86,64,53,43,43,53,53,43,43,53,53,53,139,139,139,215,139,86,64,53,43,43,53,53,53,53,53,43,53,559,139,139,139,139,107,107,107,355,344,86,86,107,226,236,247,872,1152,1130,387,376,172,86,86,96,290,301,75,64,53,43,53,53,107,107,107,107,107,107,107,96,96,96,107,107,96,107,107,107,376,376,312,312,129,139,139,495,495,279,279,279,279,279,290,312,312,925,290,850,516,506,495,484,473,86,86,75,107,96,86,86,86,322,322,656,656,882,839,850,473,473,473,258,269,269,635,624,495,473,236,312,86,86,107,150,150
0,129,139,333,344,301,312,312,1884,559,538,516,506,495,118,129,1022,107,818,807,796,785,86,75,86,107,107,53,43,43,53,53,107,107,107,107,96,96,538,506,495,462,624,193,183,150,150,150,86,86,150,150,139,139,139,366,366,376,376,366,344,635,624,861,1098,1076,785,495,506,506,150,161,107,107,53,43,43,43,53,53,43,53,53,53,107,96,96,96,96,236,75,64,53,43,53,53,53,53,53,75,53,506,118,129,139,139,107,462,107,107,258,366,366,355,269,506,495,484,452,441,193,183,86,86,96,75,86,107,129,75,53,43,43,53,53,53,53,516,742,484,473,139,139,236,236,107,107,107,107,107,107,107,107,107,118,139,139,139,107,86,312,2077,2045,549,538,516,495,473,462,559,559,495,559,559,559,559,75,64,53,43,43,53,53,43,43,53,53,53,139,139,139,139,290,86,64,53,43,53,53,53,53,53,53,53,279,527,139,139,139,107,107,107,107,161,183,258,452,236,635,635,635,882,861,387,366,355,355,86,96,96,96,86,75,64,53,43,53,53,53,53,559,559,139,139,527,139,129,139,118,107,107,107,107,107,107,107,473,462,129,139,139,107,107,258,269,549,506,495,484,473,559,226,236,236,236,721,710,699,559,75,64,53,43,43,53,53,43,43,53,53,53,506,495,139,139,139,86,64,53,43,43,53,53,53,53,53,53,516,506,139,139,139,139,107,107,107,107,559,559,559,559,269,269,236,247,247,495,495,484,656,624,398,366,344,96,75,64,53,43,53,53,107,107,107,107,107,107,107,107,107,96,107,107,96,107,107,107,107,107,236,247,139,139,139,710,699,689,86,290,290,279,269,807,807,807,872,872,1076,1076,1098,1076,872,86,64,53,43,43,53,53,43,43,53,53,53,53,53,53,462,462,86,64,53,43,43,53,53,53,53,43,75,322,549,613,139,139,872,861,398,376,96,215,215,215,215,215,107,107,581,581,753,753,742
0,1001,473,462,96,75,86,107,107,53,43,43,53,107,107,107,107,107,96,96,96,107,96,96,1399,1141,1119,150,150,161,161,150,150,139,139,139,139,107,2002,1991,247,247,495,506,506,247,484,473,462,452,193,150,150,161,161,107,53,43,43,53,53,53,43,53,53,53,107,96,96,96,96,96,64,64,53,43,53,53,53,53,150,495,506,506,506,118,139,139,107,441,430,226,236,247,635,581,1205,785,775,484,118,269,409,398,376,366,355,86,86,107,129,86,53,43,43,53,53,53,53,559,53,129,139,139,139,129,861,107,107,107,107,107,107,107,107,107,118,139,139,139,107,107,86,215,236,484,484,279,236,236,559,559,1108,1108,559,559,559,462,75,53,53,43,43,53,53,43,43,53,53,53,570,581,1108,1152,139,107,64,53,43,53,53,53,53,462,53,53,559,559,139,139,139,107,107,1098,829,818,506,570,559,559,355,344,279,279,559,559,559,559,86,86,96,96,258,258,75,64,53,43,53,53,53,53,473,462,118,139,139,139,118,333,107,107,107,107,107,107,107,107,559,559,139,139,139,462,107,279,279,279,279,279,279,559,559,279,1873,506,559,559,559,559,559,75,64,53,43,43,75,53,43,43,53,53,53,53,139,452,452,452,86,64,53,43,43,53,53,484,473,473,462,462,462,462,139,139,139,1141,1141,850,829,807,559,462,462,462,279,279,279,290,279,279,559,559,86,96,96,96,86,75,64,53,43,53,53,107,107,107,107,107,107,107,96,96,96,107,107,96,107,107,107,559,785,1518,86,86,86,86,279,279,279,279,279,279,279,279,592,581,570,549,516,495,462,452,419,398,86,64,53,43,43,53,53,43,43,53,53,53,53,53,53,53,215,86,64,53,43,43,53,53,53,53,86,75,107,107,139,139,139,139,549,549,2487,204,215,215,215,215,226,236,236,236,462,452,409,398,376,183,183,86,75,86,107,107,53,43,53,53,107,107,107,107,107,107
0,1679,549,549,269,258,258,258,204,75,53,53,53,43,559,613,624,635,645,635,635,613,1184,1141,1475,312,312,226,215,215,312,635,75,53,53,53,430,430,430,430,430,419,430,419,430,430,430,419,430,430,441,1841,183,1475,118,75,53,53,53,43,1475,1475,183,1862,1851,183,645,527,1044,1065,1076,1065,1065,1055,258,269,279,559,75,53,53,53,43,559,559,559,279,269,269,570,850,850,850,818,818,1108,1119,549,279,279,279,75,53,53,53,53,279,269,269,2196,1098,1098,1108,570,581,592,645,645,1475,645,1485,279,807,150,75,64,53,43,312,312,312,312,312,312,53,312,312,1851,2325,2325,183,2325,2325,183,1475,1475,1475,193,75,53,53,43,183,183,183,183,183,183,829,850,850,829,785,183,183,183,183,183,183,1841,75,64,53,43,43,43,549,279,269,279,279,279,279,279,279,269,236,226,183,193,549,549,290,301,86,53,53,53,43,462,462,462,183,183,1851,2217,1937,1937,344,667,645,635,312,592,570,1098,1065,86,53,53,53,215,215,1475,312,96,96,430,441,441,441,452,452,441,441,441,441,430,430,430,430,64,53,53,53,376,366,355,366,366,366,376,376,376,376,376,376,366,366,376,376,376,366,366,366,53,53,376,376,1475,1475,1475,1475,1475,1475,1851,462,462,462,462,462,1475,1475,1475,1862,183,86,64,53,53,53,829,150,1098,1098,1098,1098,1098,1098,409,419,829,829,829,829,829,829,829,1033,75,64,53,43,1851,1851,742,742,742,732,732,495,495,1862,1862,742,742,742,1841,1851,1475,1475,1851,742,75,64,53,43,1841,3090,495,495,312,312,312,312,1108,742,1108,1108,1108,1108,1108,1108,1108,366,366,75,53,366,366,366,366,366,1862,1862,366,366,366,366,366,366,1862,366,366,366,1862,1862,1475,96,96,64,53,53,53,409,409,409,409,419,732,1108,495,742,732,732,742,742,732,732,742,2465,1862,86,64,53,53,53,312,495,495,495,495,495,979,742,1238,1108,1108,1108,1108,1108,1108,1108,1108,1108,86,75,53,53,53,1108,1108
0,1475,1475,1475,1851,1851,1851,1851,1851,1851,1851,1851,1851,1475,2960,742,1098,86,75,53,53,462,462,366,366,366,366,366,366,462,376,366,366,366,462,462,462,1851,1841,1841,1841,75,53,53,53,409,409,409,409,829,829,409,409,409,409,409,419,409,409,409,409,1108,1108,1108,75,53,53,742,742,742,742,742,742,495,495,742,495,1851,1851,742,742,1108,1108,1108,1108,1108,1108,1108,75,53,43,43,742,742,312,312,312,1475,1108,1119,366,925,925,925,936,366,366,1851,1841,1841,86,64,53,43,462,1851,1851,1862,366,366,366,366,96,1108,1108,1108,1108,462,462,1475,1475,366,366,1108,75,53,53,53,829,1098,1108,1108,1098,1485,1098,1098,376,366,366,366,1851,1851,1851,1851,1851,1851,1851,75,53,53,53,1475,1475,366,742,1851,1851,1851,366,366,1722,1722,366,915,904,882,872,1851,1851,1851,75,53,53,53,1475,1475,915,915,1851,1851,1108,1119,366,376,1098,1108,1098,366,376,366,376,366,366,86,64,53,53,462,462,462,462,462,462,462,462,462,462,742,1851,1851,1851,1108,462,462,1851,1851,75,64,53,53,1108,1108,1851,2217,1108,1108,366,366,366,366,1108,1108,1108,366,366,366,366,1108,1108,75,64,53,43,1851,1841,495,1475,1475,1851,1851,1851,1108,1119,1485,1485,1485,1119,1108,1108,1862,1862,1862,193,75,64,53,43,2088,2088,2088,2088,2088,829,829,53,366,376,376,376,376,1108,366,366,1098,1098,366,64,53,43,43,1098,1098,1098,1098,1098,1098,1098,462,366,366,1108,1108,1108,366,366,1108,1108,366,1098,1108,64,53,53,1108,1851,1851,1851,1108,1108,1119,1862,1862,1851,376,376,366,366,366,366,366,366,376,86,64,53,53,366,366,366,366,366,366,366,366,376,419,419,419,1862,1851,1851,1851,2088,2088,2088,193,64,53,53,1851,312,312,312,312,312,312,1119,366,376,376,376,376,376,366,366,366,1108,1108,75,64,53,53,53,1098,462,1098,1098,1098,699,699,689,462,462,462,462,462,462,699,699,699,1098,96,64,53,53,742,742,742,742,742,742,1851,1098,1119,1119,1108,1119,1119,1108,1119,1108,1108
0,1851,1851,1851,75,53,43,43,1485,1485,2228,1485,1485,1485,1485,613,462,1475,1475,1485,366,366,366,366,366,366,376,193,75,53,43,366,366,2583,2583,366,2207,193,53,1119,376,376,1873,1862,1862,1862,376,376,376,366,75,64,53,1851,43,312,1485,1873,1873,312,53,1851,495,495,495,1119,1119,1119,742,742,742,742,742,204,75,53,53,53,376,376,376,376,376,376,366,1119,1119,1119,1119,742,742,1119,1119,1119,366,366,1475,75,53,53,53,742,742,742,742,1119,2228,753,1238,742,742,1238,1485,376,376,2228,1862,1862,1851,312,75,53,53,53,742,1851,376,376,366,742,742,1108,1108,1108,366,624,1119,1119,1119,1119,1119,1108,129,75,53,53,53,484,1937,1658,1862,1851,1862,473,462,430,419,419,419,409,409,419,430,441,452,462,75,53,53,53,1485,1485,1475,366,366,366,1658,1658,1658,1108,1108,376,1108,1108,1098,1098,1108,1851,279,86,53,53,43,1108,1108,1108,1108,1098,473,462,462,1119,1108,1108,1108,1108,1108,1108,1108,1108,366,376,86,75,53,53,43,2217,549,549,1851,1851,366,2217,2217,1108,1108,1108,1108,2217,1108,742,366,366,376,75,64,53,43,43,366,366,366,366,366,366,312,312,312,312,419,419,419,419,409,398,398,409,193,75,53,53,53,462,462,742,1108,1119,366,366,462,462,1108,1108,1658,1119,1108,462,462,462,462,742,75,53,53,53,462,462,462,462,1108,1108,462,452,1658,1119,1108,419,419,430,430,441,452,462,1098,75,64,53,53,462,462,473,473,473,473,473,441,441,441,452,452,452,462,462,462,462,462,473,86,64,53,53,441,430,430,430,441,452,452,462,473,473,473,473,1119,1119,1108,1119,1475,419,430,75,64,53,53,53,150,376,366,366,376,366,376,1108,742,742,742,742,742,742,742,1862,1119,1108,75,64,53,43,43,1108,1108,1485,1485,1485,1485,43,1108,1119,1119,1119,1108,1108,1108,742,1108,1108,1108,193,86,64,53,43,742,742,742,742,1098,1098,1108,742,742,1108,742,742,1098,1108,1108,1108,1108,1108,86,64,53,43,1108,1108,1108,366,366,1862,1851,53
0,301,301,301,290,290,290,290,301,301,290,290,290,290,290,290,301,301,290,290,290,290,290,290,290,290,290,290,290,290,290,301,301,301,290,290,290,290,290,290,290,301,301,301,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,301,301,301,290,290,290,290,290,290,290,290,290,290,290,290,301,301,301,290,290,290,290,290,301,290,290,290,290,290,290,290,290,290,290,290,290,53,43,53,53,53,53,53,53,53,53,226,172,172,172,139,139,150,161,161,161,161,161,172,172,172,172,172,172,172,172,172,172,172,183,183,183,150,139,150,172,172,172,172,172,172,183,183,193,193,193,193,204,204,204,204,204,204,215,215,215,215,204,204,204,226,215,215,215,215,215,215,215,226,226,226,64,226,226,226,215,215,215,204,193,193,183,183,193,193,183,183,183,183,183,183,183,183,193,193,193,193,193,193,193,193,193,193,193,193,75,75,75,75,75,75,75,183,172,172,172,161,172,172,172,172,172,172,172,172,172,161,150,161,161,161,172,161,161,161,161,150,150,161,161,161,53,161,161,161,161,161,161,150,139,107,107,150,139,150,150,150,150,150,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,172,161,150,139,150,161,161,150,161,161,161,161,150,139,139,139,139,139,139,139,118,118,118,118,118,107,139,139,150,150,150,139,139,139,139,139,129,129,129,129,129,129,129,129,129,129,129,129,129,129,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,96,96,86,86,86,86,172,161,161,86,86,86,86,86,86,86,43,43,129,118,118,118,118,118,118,118,172,172,172,172,172,150,161,161,172,172,172,172,172,172,172,172,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
